SKU,Type,Parent SKU,Name,Attribute:Color,Attribute:Color Visible,Attribute:Color Global,Images,Image Alt Text,HEX,Description
dk-1200,variation,kosbud,DK 1200,DK 1200,1,1,colors/dk-1200.png,DK 1200 – #b6c275 swatch,#b6c275,"Колір DK 1200, HEX #b6c275"
ak-1201,variation,kosbud,AK 1201,AK 1201,1,1,colors/ak-1201.png,AK 1201 – #ede8cd swatch,#ede8cd,"Колір AK 1201, HEX #ede8cd"
ak-1202,variation,kosbud,AK 1202,AK 1202,1,1,colors/ak-1202.png,AK 1202 – #e7e3c1 swatch,#e7e3c1,"Колір AK 1202, HEX #e7e3c1"
bk-1203,variation,kosbud,BK 1203,BK 1203,1,1,colors/bk-1203.png,BK 1203 – #e3e2b3 swatch,#e3e2b3,"Колір BK 1203, HEX #e3e2b3"
bk-1204,variation,kosbud,BK 1204,BK 1204,1,1,colors/bk-1204.png,BK 1204 – #e0e4a3 swatch,#e0e4a3,"Колір BK 1204, HEX #e0e4a3"
ck-1205,variation,kosbud,CK 1205,CK 1205,1,1,colors/ck-1205.png,CK 1205 – #e0e193 swatch,#e0e193,"Колір CK 1205, HEX #e0e193"
ak-1206,variation,kosbud,AK 1206,AK 1206,1,1,colors/ak-1206.png,AK 1206 – #ebe5d2 swatch,#ebe5d2,"Колір AK 1206, HEX #ebe5d2"
ak-1207,variation,kosbud,AK 1207,AK 1207,1,1,colors/ak-1207.png,AK 1207 – #e6dfca swatch,#e6dfca,"Колір AK 1207, HEX #e6dfca"
ak-1208,variation,kosbud,AK 1208,AK 1208,1,1,colors/ak-1208.png,AK 1208 – #ece1c5 swatch,#ece1c5,"Колір AK 1208, HEX #ece1c5"
ak-1209,variation,kosbud,AK 1209,AK 1209,1,1,colors/ak-1209.png,AK 1209 – #e8dcb6 swatch,#e8dcb6,"Колір AK 1209, HEX #e8dcb6"
bk-1210,variation,kosbud,BK 1210,BK 1210,1,1,colors/bk-1210.png,BK 1210 – #e7dda7 swatch,#e7dda7,"Колір BK 1210, HEX #e7dda7"
ak-1213,variation,kosbud,AK 1213,AK 1213,1,1,colors/ak-1213.png,AK 1213 – #e4dfce swatch,#e4dfce,"Колір AK 1213, HEX #e4dfce"
ak-1214,variation,kosbud,AK 1214,AK 1214,1,1,colors/ak-1214.png,AK 1214 – #e4e0c4 swatch,#e4e0c4,"Колір AK 1214, HEX #e4e0c4"
bk-1215,variation,kosbud,BK 1215,BK 1215,1,1,colors/bk-1215.png,BK 1215 – #e0dab5 swatch,#e0dab5,"Колір BK 1215, HEX #e0dab5"
ak-1216,variation,kosbud,AK 1216,AK 1216,1,1,colors/ak-1216.png,AK 1216 – #eae8de swatch,#eae8de,"Колір AK 1216, HEX #eae8de"
ak-1217,variation,kosbud,AK 1217,AK 1217,1,1,colors/ak-1217.png,AK 1217 – #d8d4c5 swatch,#d8d4c5,"Колір AK 1217, HEX #d8d4c5"
ak-1218,variation,kosbud,AK 1218,AK 1218,1,1,colors/ak-1218.png,AK 1218 – #e4dccb swatch,#e4dccb,"Колір AK 1218, HEX #e4dccb"
